18846 = { 
SN = 92000000
ItemId = 5000054
Count = 1
Price = 5000
Bonus = 0
Period = 0
Priority = 10
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
PbCash = 30
PbPoint = 30
PbGift = 30
Refundable = 0
WebShop = 0
}
18847 = { 
SN = 92000001
ItemId = 1812000
Count = 1
Price = 0
Bonus = 0
Period = 1
Priority = 10
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18848 = { 
SN = 92000002
ItemId = 1812001
Count = 1
Price = 0
Bonus = 0
Period = 1
Priority = 10
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18849 = { 
SN = 92000003
ItemId = 1812002
Count = 1
Price = 0
Bonus = 0
Period = 1
Priority = 10
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18850 = { 
SN = 92000004
ItemId = 1812003
Count = 1
Price = 0
Bonus = 0
Period = 1
Priority = 10
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18851 = { 
SN = 92000005
ItemId = 1812004
Count = 1
Price = 0
Bonus = 0
Period = 1
Priority = 10
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18852 = { 
SN = 92000006
ItemId = 5152000
Count = 1
Price = 0
Bonus = 0
Period = 90
Priority = 10
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18853 = { 
SN = 92000007
ItemId = 5150000
Count = 1
Price = 350
Bonus = 0
Period = 90
Priority = 10
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18854 = { 
SN = 92000008
ItemId = 5140007
Count = 1
Price = 350
Bonus = 0
Period = 3
Priority = 10
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18855 = { 
SN = 92000009
ItemId = 5140000
Count = 1
Price = 350
Bonus = 0
Period = 3
Priority = 10
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18856 = { 
SN = 92000010
ItemId = 5150032
Count = 1
Price = 5000
Bonus = 0
Period = 90
Priority = 10
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18857 = { 
SN = 92000011
ItemId = 5150033
Count = 1
Price = 12000
Bonus = 0
Period = 90
Priority = 10
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18858 = { 
SN = 92000012
ItemId = 5152037
Count = 1
Price = 5000
Bonus = 0
Period = 90
Priority = 10
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18859 = { 
SN = 92000013
ItemId = 5153010
Count = 1
Price = 5000
Bonus = 0
Period = 90
Priority = 10
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18860 = { 
SN = 92000014
ItemId = 5041000
Count = 2
Price = 1200
Bonus = 0
Period = 90
Priority = 10
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18861 = { 
SN = 92000015
ItemId = 5120007
Count = 2
Price = 840
Bonus = 0
Period = 90
Priority = 10
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18862 = { 
SN = 92000016
ItemId = 5075005
Count = 1
Price = 3500
Bonus = 0
Period = 90
Priority = 10
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18863 = { 
SN = 92000017
ItemId = 5450000
Count = 2
Price = 2000
Bonus = 0
Period = 90
Priority = 10
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18864 = { 
SN = 92000018
ItemId = 5230000
Count = 2
Price = 1400
Bonus = 0
Period = 90
Priority = 10
ReqPOP = 0
ReqLEV = 0
